,sample,Depth_bin,subtype,count,proportion,group
151,DLE2,"(0.1, 0.2]",Spinous KC-4,71,0.8365735831271356,DLE
152,DLE2,"(0.1, 0.2]",HF-SG,0,0.0,DLE
153,DLE2,"(0.1, 0.2]",OB,0,0.0,DLE
154,DLE2,"(0.1, 0.2]",Stress KC,4,0.04713090609166961,DLE
155,DLE2,"(0.1, 0.2]",IRS,2,0.023565453045834805,DLE
156,DLE2,"(0.7, 0.8]",Spinous KC-3,393,4.6306115235065395,DLE
157,DLE2,"(0.7, 0.8]",Granular KC,21,0.24743725698126545,DLE
158,DLE2,"(0.7, 0.8]",Basal KC,23,0.27100271002710025,DLE
159,DLE2,"(0.7, 0.8]",Spinous KC-2,32,0.3770472487333569,DLE
160,DLE2,"(0.7, 0.8]",Channel KC,3,0.03534817956875221,DLE
161,DLE2,"(0.7, 0.8]",Spinous KC-1,25,0.2945681630729351,DLE
162,DLE2,"(0.7, 0.8]",Cycling KC,34,0.4006127017791917,DLE
163,DLE2,"(0.7, 0.8]",ORS,4,0.04713090609166961,DLE
164,DLE2,"(0.7, 0.8]",Spinous KC-4,182,2.1444562271709673,DLE
165,DLE2,"(0.7, 0.8]",HF-SG,0,0.0,DLE
166,DLE2,"(0.7, 0.8]",OB,0,0.0,DLE
167,DLE2,"(0.7, 0.8]",Stress KC,5,0.058913632614587014,DLE
168,DLE2,"(0.7, 0.8]",IRS,0,0.0,DLE
169,DLE2,"(0.4, 0.5]",Spinous KC-3,256,3.016377989866855,DLE
170,DLE2,"(0.4, 0.5]",Granular KC,62,0.730529044420879,DLE
171,DLE2,"(0.4, 0.5]",Basal KC,15,0.17674089784376104,DLE
172,DLE2,"(0.4, 0.5]",Spinous KC-2,0,0.0,DLE
173,DLE2,"(0.4, 0.5]",Channel KC,1,0.011782726522917402,DLE
174,DLE2,"(0.4, 0.5]",Spinous KC-1,5,0.058913632614587014,DLE
175,DLE2,"(0.4, 0.5]",Cycling KC,8,0.09426181218333922,DLE
176,DLE2,"(0.4, 0.5]",ORS,0,0.0,DLE
177,DLE2,"(0.4, 0.5]",Spinous KC-4,67,0.789442677035466,DLE
178,DLE2,"(0.4, 0.5]",HF-SG,0,0.0,DLE
179,DLE2,"(0.4, 0.5]",OB,0,0.0,DLE
180,DLE2,"(0.4, 0.5]",Stress KC,2,0.023565453045834805,DLE
181,DLE2,"(0.4, 0.5]",IRS,1,0.011782726522917402,DLE
182,DLE2,"(0.3, 0.4]",Spinous KC-3,239,2.8160716389772595,DLE
183,DLE2,"(0.3, 0.4]",Granular KC,109,1.284317190997997,DLE
184,DLE2,"(0.3, 0.4]",Basal KC,15,0.17674089784376104,DLE
185,DLE2,"(0.3, 0.4]",Spinous KC-2,4,0.04713090609166961,DLE
186,DLE2,"(0.3, 0.4]",Channel KC,2,0.023565453045834805,DLE
187,DLE2,"(0.3, 0.4]",Spinous KC-1,4,0.04713090609166961,DLE
188,DLE2,"(0.3, 0.4]",Cycling KC,11,0.12960999175209142,DLE
189,DLE2,"(0.3, 0.4]",ORS,2,0.023565453045834805,DLE
190,DLE2,"(0.3, 0.4]",Spinous KC-4,61,0.7187463178979616,DLE
191,DLE2,"(0.3, 0.4]",HF-SG,0,0.0,DLE
192,DLE2,"(0.3, 0.4]",OB,2,0.023565453045834805,DLE
193,DLE2,"(0.3, 0.4]",Stress KC,1,0.011782726522917402,DLE
194,DLE2,"(0.3, 0.4]",IRS,0,0.0,DLE
195,DLE2,"(0.6, 0.7]",Spinous KC-3,316,3.7233415812418995,DLE
196,DLE2,"(0.6, 0.7]",Granular KC,26,0.3063508895958525,DLE
197,DLE2,"(0.6, 0.7]",Basal KC,10,0.11782726522917403,DLE
198,DLE2,"(0.6, 0.7]",Spinous KC-2,14,0.16495817132084364,DLE
199,DLE2,"(0.6, 0.7]",Channel KC,1,0.011782726522917402,DLE
200,DLE2,"(0.6, 0.7]",Spinous KC-1,7,0.08247908566042182,DLE
201,DLE2,"(0.6, 0.7]",Cycling KC,24,0.2827854365500177,DLE
202,DLE2,"(0.6, 0.7]",ORS,0,0.0,DLE
203,DLE2,"(0.6, 0.7]",Spinous KC-4,109,1.284317190997997,DLE
204,DLE2,"(0.6, 0.7]",HF-SG,0,0.0,DLE
205,DLE2,"(0.6, 0.7]",OB,0,0.0,DLE
206,DLE2,"(0.6, 0.7]",Stress KC,2,0.023565453045834805,DLE
207,DLE2,"(0.6, 0.7]",IRS,0,0.0,DLE
208,DLE2,"(-0.001, 0.1]",Spinous KC-3,104,1.22540355838341,DLE
209,DLE2,"(-0.001, 0.1]",Granular KC,314,3.6997761281960644,DLE
210,DLE2,"(-0.001, 0.1]",Basal KC,12,0.14139271827500885,DLE
211,DLE2,"(-0.001, 0.1]",Spinous KC-2,2,0.023565453045834805,DLE
212,DLE2,"(-0.001, 0.1]",Channel KC,6,0.07069635913750442,DLE
213,DLE2,"(-0.001, 0.1]",Spinous KC-1,3,0.03534817956875221,DLE
214,DLE2,"(-0.001, 0.1]",Cycling KC,11,0.12960999175209142,DLE
215,DLE2,"(-0.001, 0.1]",ORS,0,0.0,DLE
216,DLE2,"(-0.001, 0.1]",Spinous KC-4,81,0.9544008483563097,DLE
217,DLE2,"(-0.001, 0.1]",HF-SG,0,0.0,DLE
218,DLE2,"(-0.001, 0.1]",OB,3,0.03534817956875221,DLE
219,DLE2,"(-0.001, 0.1]",Stress KC,8,0.09426181218333922,DLE
220,DLE2,"(-0.001, 0.1]",IRS,4,0.04713090609166961,DLE
221,DLE2,"(0.2, 0.3]",Spinous KC-3,188,2.215152586308472,DLE
222,DLE2,"(0.2, 0.3]",Granular KC,185,2.1798044067397195,DLE
223,DLE2,"(0.2, 0.3]",Basal KC,28,0.3299163426416873,DLE
224,DLE2,"(0.2, 0.3]",Spinous KC-2,2,0.023565453045834805,DLE
225,DLE2,"(0.2, 0.3]",Channel KC,3,0.03534817956875221,DLE
226,DLE2,"(0.2, 0.3]",Spinous KC-1,5,0.058913632614587014,DLE
227,DLE2,"(0.2, 0.3]",Cycling KC,19,0.22387180393543066,DLE
228,DLE2,"(0.2, 0.3]",ORS,3,0.03534817956875221,DLE
229,DLE2,"(0.2, 0.3]",Spinous KC-4,93,1.0957935666313185,DLE
230,DLE2,"(0.2, 0.3]",HF-SG,0,0.0,DLE
231,DLE2,"(0.2, 0.3]",OB,0,0.0,DLE
232,DLE2,"(0.2, 0.3]",Stress KC,0,0.0,DLE
233,DLE2,"(0.2, 0.3]",IRS,0,0.0,DLE
234,DLE2,"(0.8, 0.9]",Spinous KC-3,429,5.054789678331566,DLE
235,DLE2,"(0.8, 0.9]",Granular KC,8,0.09426181218333922,DLE
236,DLE2,"(0.8, 0.9]",Basal KC,42,0.4948745139625309,DLE
237,DLE2,"(0.8, 0.9]",Spinous KC-2,94,1.107576293154236,DLE
238,DLE2,"(0.8, 0.9]",Channel KC,2,0.023565453045834805,DLE
239,DLE2,"(0.8, 0.9]",Spinous KC-1,47,0.553788146577118,DLE
240,DLE2,"(0.8, 0.9]",Cycling KC,112,1.3196653705667492,DLE
241,DLE2,"(0.8, 0.9]",ORS,4,0.04713090609166961,DLE
242,DLE2,"(0.8, 0.9]",Spinous KC-4,406,4.783786968304466,DLE
243,DLE2,"(0.8, 0.9]",HF-SG,3,0.03534817956875221,DLE
244,DLE2,"(0.8, 0.9]",OB,7,0.08247908566042182,DLE
245,DLE2,"(0.8, 0.9]",Stress KC,8,0.09426181218333922,DLE
246,DLE2,"(0.8, 0.9]",IRS,2,0.023565453045834805,DLE
247,DLE2,"(0.9, 1.0]",Spinous KC-3,342,4.029692470837752,DLE
248,DLE2,"(0.9, 1.0]",Granular KC,1,0.011782726522917402,DLE
