,Depth_bin,sample,expression,gene,group
125,0.8-0.9,HC1,0.05655399053011042,IL36RN,HC
126,0.8-0.9,HC2,0.003991111929387132,IL36RN,HC
127,0.8-0.9,HC3,0.016046838740546056,IL36RN,HC
128,0.8-0.9,HC4,0.02651936463718005,IL36RN,HC
129,0.8-0.9,SLE1,0.057475248641340994,IL36RN,SLE
130,0.8-0.9,SLE2,0.12388996962434362,IL36RN,SLE
131,0.8-0.9,SLE3,0.15739212512657466,IL36RN,SLE
132,0.8-0.9,SLE4,0.14189987447904961,IL36RN,SLE
133,0.8-0.9,SLE5,0.04208789226862736,IL36RN,SLE
134,0.8-0.9,SLE6,0.04415921202475929,IL36RN,SLE
135,0.9-1.0,DLE1,0.01798537786415307,IL36RN,DLE
136,0.9-1.0,DLE2,0.4111032366255625,IL36RN,DLE
137,0.9-1.0,DLE3,0.1604140853170613,IL36RN,DLE
138,0.9-1.0,DLE4,0.16554433794278364,IL36RN,DLE
139,0.9-1.0,DLE5,0.04487198379584187,IL36RN,DLE
140,0.9-1.0,HC1,0.06699344614599363,IL36RN,HC
141,0.9-1.0,HC2,0.0461571293865734,IL36RN,HC
142,0.9-1.0,HC3,0.006535720487280589,IL36RN,HC
143,0.9-1.0,HC4,0.012751625825288389,IL36RN,HC
144,0.9-1.0,SLE1,0.012319761851573775,IL36RN,SLE
145,0.9-1.0,SLE2,0.05827647542085036,IL36RN,SLE
146,0.9-1.0,SLE3,0.14432060699998986,IL36RN,SLE
147,0.9-1.0,SLE4,0.0950752588587287,IL36RN,SLE
148,0.9-1.0,SLE5,0.02502494656931851,IL36RN,SLE
149,0.9-1.0,SLE6,0.13966809111454628,IL36RN,SLE
150,0.0-0.1,DLE1,0.12820368767204585,IL36G,DLE
151,0.0-0.1,DLE2,0.5759214196780381,IL36G,DLE
152,0.0-0.1,DLE3,0.506406920017641,IL36G,DLE
153,0.0-0.1,DLE4,0.7038711215578886,IL36G,DLE
154,0.0-0.1,DLE5,0.3456219168490175,IL36G,DLE
155,0.0-0.1,HC1,0.051647705983387984,IL36G,HC
156,0.0-0.1,HC2,0.016159820700725875,IL36G,HC
157,0.0-0.1,HC3,0.05315115103887876,IL36G,HC
158,0.0-0.1,HC4,0.023593068706929385,IL36G,HC
159,0.0-0.1,SLE1,0.4104436503444319,IL36G,SLE
160,0.0-0.1,SLE2,0.477318375070441,IL36G,SLE
161,0.0-0.1,SLE3,0.36736704794610314,IL36G,SLE
162,0.0-0.1,SLE4,0.7210622568536919,IL36G,SLE
163,0.0-0.1,SLE5,0.37854543448297456,IL36G,SLE
164,0.0-0.1,SLE6,0.5920987552597867,IL36G,SLE
165,0.1-0.2,DLE1,0.11406465985095278,IL36G,DLE
166,0.1-0.2,DLE2,0.7153471570989481,IL36G,DLE
167,0.1-0.2,DLE3,0.7912115007079464,IL36G,DLE
168,0.1-0.2,DLE4,0.6229979076625549,IL36G,DLE
169,0.1-0.2,DLE5,0.19936981602986975,IL36G,DLE
170,0.1-0.2,HC1,0.016990486622537045,IL36G,HC
171,0.1-0.2,HC2,0.01688686984861134,IL36G,HC
172,0.1-0.2,HC3,0.029364128516386315,IL36G,HC
173,0.1-0.2,HC4,0.04135215626592674,IL36G,HC
174,0.1-0.2,SLE1,0.27748013998570265,IL36G,SLE
175,0.1-0.2,SLE2,0.5144620928925155,IL36G,SLE
176,0.1-0.2,SLE3,0.4364458387430338,IL36G,SLE
177,0.1-0.2,SLE4,0.9125054628583853,IL36G,SLE
178,0.1-0.2,SLE5,0.35076611244854317,IL36G,SLE
179,0.1-0.2,SLE6,0.5162612346029609,IL36G,SLE
180,0.2-0.3,DLE1,0.03420056305914237,IL36G,DLE
181,0.2-0.3,DLE2,0.7381934448797574,IL36G,DLE
182,0.2-0.3,DLE3,0.9772572351449992,IL36G,DLE
183,0.2-0.3,DLE4,0.522161069576689,IL36G,DLE
184,0.2-0.3,DLE5,0.18618682904669082,IL36G,DLE
185,0.2-0.3,HC1,0.030995073724958258,IL36G,HC
186,0.2-0.3,HC2,0.019338191814322416,IL36G,HC
187,0.2-0.3,HC3,0.01701624573004247,IL36G,HC
188,0.2-0.3,HC4,0.02016352081321248,IL36G,HC
189,0.2-0.3,SLE1,0.16607796305341957,IL36G,SLE
190,0.2-0.3,SLE2,0.48752855643800985,IL36G,SLE
191,0.2-0.3,SLE3,0.5099348106043324,IL36G,SLE
192,0.2-0.3,SLE4,0.7178357528899879,IL36G,SLE
193,0.2-0.3,SLE5,0.3965433953616769,IL36G,SLE
194,0.2-0.3,SLE6,0.5076584507055213,IL36G,SLE
195,0.3-0.4,DLE1,0.04676820190589885,IL36G,DLE
196,0.3-0.4,DLE2,0.8378283140765008,IL36G,DLE
197,0.3-0.4,DLE3,0.825506562800284,IL36G,DLE
198,0.3-0.4,DLE4,0.41854149088057657,IL36G,DLE
199,0.3-0.4,DLE5,0.08268311157440214,IL36G,DLE
200,0.3-0.4,HC1,0.04964002557334137,IL36G,HC
201,0.3-0.4,HC2,0.019770709831339994,IL36G,HC
202,0.3-0.4,HC3,0.003527657780035024,IL36G,HC
203,0.3-0.4,HC4,0.0,IL36G,HC
204,0.3-0.4,SLE1,0.06982422052397688,IL36G,SLE
205,0.3-0.4,SLE2,0.44461743891025673,IL36G,SLE
206,0.3-0.4,SLE3,0.3470112842242355,IL36G,SLE
207,0.3-0.4,SLE4,0.5065664722054504,IL36G,SLE
208,0.3-0.4,SLE5,0.3399995859949789,IL36G,SLE
209,0.3-0.4,SLE6,0.3020095298101657,IL36G,SLE
210,0.4-0.5,DLE1,0.014805458851465527,IL36G,DLE
211,0.4-0.5,DLE2,0.8203427370228072,IL36G,DLE
212,0.4-0.5,DLE3,0.6192180199994298,IL36G,DLE
213,0.4-0.5,DLE4,0.40702531048822316,IL36G,DLE
214,0.4-0.5,DLE5,0.05953940270627469,IL36G,DLE
215,0.4-0.5,HC1,0.02141957141633987,IL36G,HC
216,0.4-0.5,HC2,0.005212130308580819,IL36G,HC
217,0.4-0.5,HC3,0.004882808092694325,IL36G,HC
218,0.4-0.5,HC4,0.0,IL36G,HC
219,0.4-0.5,SLE1,0.027168215500543113,IL36G,SLE
220,0.4-0.5,SLE2,0.3012448320013816,IL36G,SLE
221,0.4-0.5,SLE3,0.24014166904765225,IL36G,SLE
222,0.4-0.5,SLE4,0.32325978542080347,IL36G,SLE
223,0.4-0.5,SLE5,0.2523588384013764,IL36G,SLE
224,0.4-0.5,SLE6,0.1981447956477043,IL36G,SLE
225,0.5-0.6,DLE1,0.0,IL36G,DLE
226,0.5-0.6,DLE2,0.7931504142578941,IL36G,DLE
227,0.5-0.6,DLE3,0.431336252955612,IL36G,DLE
228,0.5-0.6,DLE4,0.21149229714267992,IL36G,DLE
229,0.5-0.6,DLE5,0.05263530004332311,IL36G,DLE
230,0.5-0.6,HC1,0.03102877225630654,IL36G,HC
231,0.5-0.6,HC2,0.014883571398172849,IL36G,HC
232,0.5-0.6,HC3,0.004176885708958242,IL36G,HC
233,0.5-0.6,HC4,0.0,IL36G,HC
234,0.5-0.6,SLE1,0.060287206953415676,IL36G,SLE
235,0.5-0.6,SLE2,0.20867422536897248,IL36G,SLE
236,0.5-0.6,SLE3,0.21671820824510693,IL36G,SLE
237,0.5-0.6,SLE4,0.19054537566642082,IL36G,SLE
238,0.5-0.6,SLE5,0.19669831701295998,IL36G,SLE
239,0.5-0.6,SLE6,0.09594054464777282,IL36G,SLE
240,0.6-0.7,DLE1,0.022995780642836357,IL36G,DLE
241,0.6-0.7,DLE2,0.7444669958874893,IL36G,DLE
242,0.6-0.7,DLE3,0.3889531094275195,IL36G,DLE
243,0.6-0.7,DLE4,0.23706643084857187,IL36G,DLE
244,0.6-0.7,DLE5,0.020133672407710208,IL36G,DLE
245,0.6-0.7,HC1,0.010964696514995336,IL36G,HC
246,0.6-0.7,HC2,0.013494290600745402,IL36G,HC
247,0.6-0.7,HC3,0.0,IL36G,HC
248,0.6-0.7,HC4,0.0,IL36G,HC
249,0.6-0.7,SLE1,0.04959066667444395,IL36G,SLE
250,0.6-0.7,SLE2,0.1532670971853629,IL36G,SLE
251,0.6-0.7,SLE3,0.11132900123384781,IL36G,SLE
252,0.6-0.7,SLE4,0.12113190428879221,IL36G,SLE
253,0.6-0.7,SLE5,0.09303942246273027,IL36G,SLE
254,0.6-0.7,SLE6,0.17075819361991448,IL36G,SLE
255,0.7-0.8,DLE1,0.01777083849038078,IL36G,DLE
256,0.7-0.8,DLE2,0.7440282488994192,IL36G,DLE
257,0.7-0.8,DLE3,0.2109638454853827,IL36G,DLE
258,0.7-0.8,DLE4,0.21402043631605366,IL36G,DLE
259,0.7-0.8,DLE5,0.026603158624582606,IL36G,DLE
260,0.7-0.8,HC1,0.00706636438598841,IL36G,HC
261,0.7-0.8,HC2,0.0,IL36G,HC
262,0.7-0.8,HC3,0.0,IL36G,HC
263,0.7-0.8,HC4,0.0,IL36G,HC
264,0.7-0.8,SLE1,0.02070164353308239,IL36G,SLE
265,0.7-0.8,SLE2,0.1509405087445034,IL36G,SLE
266,0.7-0.8,SLE3,0.11681677811226047,IL36G,SLE
267,0.7-0.8,SLE4,0.11811622131182868,IL36G,SLE
268,0.7-0.8,SLE5,0.08399109375868569,IL36G,SLE
269,0.7-0.8,SLE6,0.11318392849237437,IL36G,SLE
270,0.8-0.9,DLE1,0.025564363066616098,IL36G,DLE
271,0.8-0.9,DLE2,0.606325825801115,IL36G,DLE
272,0.8-0.9,DLE3,0.1365988919055848,IL36G,DLE
273,0.8-0.9,DLE4,0.1599489400209948,IL36G,DLE
274,0.8-0.9,DLE5,0.024739631419555964,IL36G,DLE
275,0.8-0.9,HC1,0.015039245971376796,IL36G,HC
276,0.8-0.9,HC2,0.0073611591376996615,IL36G,HC
277,0.8-0.9,HC3,0.007651715913507911,IL36G,HC
278,0.8-0.9,HC4,0.02460904368826652,IL36G,HC
279,0.8-0.9,SLE1,0.00704049439250894,IL36G,SLE
280,0.8-0.9,SLE2,0.10315500490231176,IL36G,SLE
281,0.8-0.9,SLE3,0.12150414593258359,IL36G,SLE
282,0.8-0.9,SLE4,0.07406492733408825,IL36G,SLE
283,0.8-0.9,SLE5,0.03730328285629143,IL36G,SLE
284,0.8-0.9,SLE6,0.10286075878134959,IL36G,SLE
285,0.9-1.0,DLE1,0.008014769947092347,IL36G,DLE
286,0.9-1.0,DLE2,0.3916468253687395,IL36G,DLE
287,0.9-1.0,DLE3,0.12771796288093212,IL36G,DLE
288,0.9-1.0,DLE4,0.12547684782022958,IL36G,DLE
289,0.9-1.0,DLE5,0.014560232767969127,IL36G,DLE
290,0.9-1.0,HC1,0.032178113695968534,IL36G,HC
291,0.9-1.0,HC2,0.01423474561928995,IL36G,HC
292,0.9-1.0,HC3,0.0,IL36G,HC
293,0.9-1.0,HC4,0.0,IL36G,HC
294,0.9-1.0,SLE1,0.009057991938222315,IL36G,SLE
295,0.9-1.0,SLE2,0.0380858491166182,IL36G,SLE
296,0.9-1.0,SLE3,0.07034693129825131,IL36G,SLE
297,0.9-1.0,SLE4,0.06153877092002767,IL36G,SLE
298,0.9-1.0,SLE5,0.035284483545229055,IL36G,SLE
299,0.9-1.0,SLE6,0.07173397538508836,IL36G,SLE
300,0.0-0.1,DLE1,0.22863643690777805,IL20RB,DLE
301,0.0-0.1,DLE2,0.2022885687639159,IL20RB,DLE
302,0.0-0.1,DLE3,0.37109783268476015,IL20RB,DLE
303,0.0-0.1,DLE4,0.5355102908456255,IL20RB,DLE
304,0.0-0.1,DLE5,0.5645847649995139,IL20RB,DLE
305,0.0-0.1,HC1,0.7520176662920856,IL20RB,HC
306,0.0-0.1,HC2,0.40140071622264634,IL20RB,HC
307,0.0-0.1,HC3,0.44204894165973646,IL20RB,HC
308,0.0-0.1,HC4,0.31777893796664664,IL20RB,HC
309,0.0-0.1,SLE1,0.310383185475211,IL20RB,SLE
310,0.0-0.1,SLE2,0.31786319319032275,IL20RB,SLE
311,0.0-0.1,SLE3,0.3490255671249859,IL20RB,SLE
312,0.0-0.1,SLE4,0.40295232983267587,IL20RB,SLE
313,0.0-0.1,SLE5,0.21072677279062113,IL20RB,SLE
314,0.0-0.1,SLE6,0.2614413340441348,IL20RB,SLE
315,0.1-0.2,DLE1,0.3178899747472327,IL20RB,DLE
316,0.1-0.2,DLE2,0.26350567760839977,IL20RB,DLE
317,0.1-0.2,DLE3,0.4225622913023448,IL20RB,DLE
318,0.1-0.2,DLE4,0.4398103989857904,IL20RB,DLE
319,0.1-0.2,DLE5,0.5514822171051749,IL20RB,DLE
320,0.1-0.2,HC1,0.6352416084307974,IL20RB,HC
321,0.1-0.2,HC2,0.3446663412442826,IL20RB,HC
322,0.1-0.2,HC3,0.45479061777957264,IL20RB,HC
323,0.1-0.2,HC4,0.3677716917882035,IL20RB,HC
324,0.1-0.2,SLE1,0.30992313622682666,IL20RB,SLE
325,0.1-0.2,SLE2,0.34256779475799365,IL20RB,SLE
326,0.1-0.2,SLE3,0.4591087409600394,IL20RB,SLE
327,0.1-0.2,SLE4,0.5247213473388128,IL20RB,SLE
328,0.1-0.2,SLE5,0.1920142392472041,IL20RB,SLE
329,0.1-0.2,SLE6,0.3228219962420608,IL20RB,SLE
330,0.2-0.3,DLE1,0.14349506114573862,IL20RB,DLE
331,0.2-0.3,DLE2,0.330250255452804,IL20RB,DLE
332,0.2-0.3,DLE3,0.4396716114666258,IL20RB,DLE
333,0.2-0.3,DLE4,0.6212097123511253,IL20RB,DLE
334,0.2-0.3,DLE5,0.5575695949774327,IL20RB,DLE
335,0.2-0.3,HC1,0.5803272037808782,IL20RB,HC
336,0.2-0.3,HC2,0.38356478349191875,IL20RB,HC
337,0.2-0.3,HC3,0.4619195805708292,IL20RB,HC
338,0.2-0.3,HC4,0.09316719326658732,IL20RB,HC
339,0.2-0.3,SLE1,0.46330001461715287,IL20RB,SLE
340,0.2-0.3,SLE2,0.40555852726136943,IL20RB,SLE
341,0.2-0.3,SLE3,0.4441037301720326,IL20RB,SLE
342,0.2-0.3,SLE4,0.6057638276207034,IL20RB,SLE
343,0.2-0.3,SLE5,0.18673208559785354,IL20RB,SLE
344,0.2-0.3,SLE6,0.3874925451024152,IL20RB,SLE
345,0.3-0.4,DLE1,0.2040730209712575,IL20RB,DLE
346,0.3-0.4,DLE2,0.31691632129912467,IL20RB,DLE
347,0.3-0.4,DLE3,0.44581502823778096,IL20RB,DLE
348,0.3-0.4,DLE4,0.5723942061675361,IL20RB,DLE
349,0.3-0.4,DLE5,0.6054270673386642,IL20RB,DLE
350,0.3-0.4,HC1,0.6364360812092823,IL20RB,HC
351,0.3-0.4,HC2,0.3053777742556734,IL20RB,HC
352,0.3-0.4,HC3,0.4156903582833273,IL20RB,HC
353,0.3-0.4,HC4,0.25662030948083286,IL20RB,HC
354,0.3-0.4,SLE1,0.372776913889985,IL20RB,SLE
355,0.3-0.4,SLE2,0.3354973024143484,IL20RB,SLE
356,0.3-0.4,SLE3,0.4775664214266065,IL20RB,SLE
357,0.3-0.4,SLE4,0.5953249586091518,IL20RB,SLE
358,0.3-0.4,SLE5,0.21901613248647955,IL20RB,SLE
359,0.3-0.4,SLE6,0.35660771856889745,IL20RB,SLE
360,0.4-0.5,DLE1,0.2614577756727172,IL20RB,DLE
361,0.4-0.5,DLE2,0.30928124483125735,IL20RB,DLE
362,0.4-0.5,DLE3,0.37405067027743877,IL20RB,DLE
363,0.4-0.5,DLE4,0.5339488311509841,IL20RB,DLE
364,0.4-0.5,DLE5,0.4960778096369388,IL20RB,DLE
365,0.4-0.5,HC1,0.6107766412974902,IL20RB,HC
366,0.4-0.5,HC2,0.3761787750160385,IL20RB,HC
367,0.4-0.5,HC3,0.36124885424723235,IL20RB,HC
368,0.4-0.5,HC4,0.14301614302618693,IL20RB,HC
369,0.4-0.5,SLE1,0.36816832642501096,IL20RB,SLE
370,0.4-0.5,SLE2,0.38147910797566925,IL20RB,SLE
371,0.4-0.5,SLE3,0.4562895022857857,IL20RB,SLE
372,0.4-0.5,SLE4,0.41674907010705897,IL20RB,SLE
373,0.4-0.5,SLE5,0.32486754125497724,IL20RB,SLE
374,0.4-0.5,SLE6,0.28290628032356285,IL20RB,SLE
375,0.5-0.6,DLE1,0.24852932830090674,IL20RB,DLE
376,0.5-0.6,DLE2,0.39953804782260127,IL20RB,DLE
377,0.5-0.6,DLE3,0.2860818033935518,IL20RB,DLE
378,0.5-0.6,DLE4,0.3634368609325112,IL20RB,DLE
379,0.5-0.6,DLE5,0.4375002769136385,IL20RB,DLE
380,0.5-0.6,HC1,0.6301167958020768,IL20RB,HC
381,0.5-0.6,HC2,0.381735847941313,IL20RB,HC
382,0.5-0.6,HC3,0.3507865990388097,IL20RB,HC
383,0.5-0.6,HC4,0.17542485726868892,IL20RB,HC
384,0.5-0.6,SLE1,0.378156443735956,IL20RB,SLE
385,0.5-0.6,SLE2,0.3123886465158673,IL20RB,SLE
386,0.5-0.6,SLE3,0.4828661949982519,IL20RB,SLE
387,0.5-0.6,SLE4,0.3583358534454168,IL20RB,SLE
388,0.5-0.6,SLE5,0.1615901802966761,IL20RB,SLE
389,0.5-0.6,SLE6,0.19445719764486516,IL20RB,SLE
390,0.6-0.7,DLE1,0.2209426226836257,IL20RB,DLE
391,0.6-0.7,DLE2,0.39202780049649677,IL20RB,DLE
392,0.6-0.7,DLE3,0.32416417585522117,IL20RB,DLE
393,0.6-0.7,DLE4,0.41338334069391447,IL20RB,DLE
394,0.6-0.7,DLE5,0.37920484133883514,IL20RB,DLE
395,0.6-0.7,HC1,0.7071081929264069,IL20RB,HC
396,0.6-0.7,HC2,0.3474650377438392,IL20RB,HC
397,0.6-0.7,HC3,0.3273958597910285,IL20RB,HC
